"Label","site_id","Ecosystem","GAP_No","WeatherFolder","X_WGS84","Y_WGS84","ELEV_m","ASPECT","SLOPE","Include_YN"
"MS1_sbs_1241_5257",1241,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_1241_5257_data_42.0625_-107.0625",-107.10872966,42.0439765936,2145,135,4,1
"MS1_sbs_1242_5454",1242,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_1242_5454_data_42.0625_-106.5625",-106.580957628,42.0803274425,2117,215,11,1
"MS1_sbs_1243_5257",1243,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_1243_5257_data_41.1875_-114.5625",-114.527188318,41.1727657458,1916,148,6,1
"MS1_sbs_1244_5257",1244,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_1244_5257_data_40.8125_-116.6875",-116.698808395,40.8213327633,1706,340,1,1
"MS1_sbs_1245_5257",1245,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_1245_5257_data_40.6875_-117.3125",-117.330261738,40.7141212448,1610,128,2,1
"MS1_sbs_1246_5257",1246,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-109.530452126,41.7809555065,2044,205,1,0
"MS1_sbs_1247_5257",1247,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_1247_5257_data_40.6875_-117.4375",-117.468847245,40.6785524575,1531,224,10,1
"MS1_sbs_1248_5257",1248,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-117.62202192,40.6512783856,1524,249,5,0
"MS1_sbs_1249_5455",1249,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,"MS1_sbs_1249_5455_data_40.5625_-117.8125",-117.866454051,40.6047966047,2142,87,18,1
"MS1_sbs_1250_5257",1250,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-119.489591711,40.3050821695,1334,104,3,0
"MS1_sbs_1251_5454",1251,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-106.67218185,42.0379841567,2028,141,2,0
"MS1_sbs_1252_5257",1252,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-119.490262741,40.2983264194,1353,80,5,0
"MS1_sbs_1253_5454",1253,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_1253_5454_data_42.0625_-106.4375",-106.398042966,42.0533961195,2023,307,3,1
"MS1_sbs_1254_5257",1254,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-106.862902557,42.0082625678,1964,32,8,0
"MS1_sbs_1255_5455",1255,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,NA,-111.293163048,41.5469741329,2241,321,11,0
"MS1_sbs_1256_5455",1256,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,"MS1_sbs_1256_5455_data_41.0625_-114.5625",-114.599156318,41.1037208307,2021,306,5,1
"MS1_sbs_1257_5257",1257,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_1257_5257_data_41.6875_-110.4375",-110.422503186,41.6468148503,2020,109,3,1
"MS1_sbs_1258_5455",1258,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,NA,-111.527506987,41.5161609879,2404,219,4,0
"MS1_sbs_1259_5454",1259,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-106.357058542,42.0345745079,2068,13,5,0
"MS1_sbs_1260_5455",1260,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,NA,-111.348939262,41.5302143417,2295,17,15,0
"MS1_sbs_1261_5455",1261,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,NA,-111.352826741,41.5145369064,2250,206,22,0
"MS1_sbs_1262_5454",1262,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_1262_5454_data_41.9375_-106.4375",-106.476502543,41.9965790928,2054,186,2,1
